stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,5.92,0.28,6.76,2.54,7.89,0.85,0,0,0,0.28,0,2.25,15.5,0.28,25.93,0.56,72.43,30.72,0.28,0.85,13.53,0,5.92,0.85,0,0.56,0
21Day,4.07,1.48,22.57,0.37,11.84,0.37,0.37,1.48,2.59,5.55,2.96,1.48,7.77,4.81,27.75,1.85,22.2,12.58,0,1.11,9.25,4.44,0.74,1.11,3.7,0.74,2.22
