stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0.28,0,0.28,12.12,0.56,0,0.28,0,0,5.64,9.58,0.85,0
21Day,0.37,0.74,0.37,0,0,0.37,0.37,0,0.37,1.11,0.37,2.59,0.37,0.37,0.37,0.74,0.37,20.35,90.28,0,0
22Month,0,0.14,0,0.14,1.09,0,0.27,0.14,0,0,0,0,0,0,0,0,0,4.78,0,0,0.14
