stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0.28,0.56,0,0,0,0.56,1.41,0.28,0.85,0.85,1.13,0.28,0.28,0.56,0,0
21Day,0.74,0.37,0.37,0,0,0,0,2.59,0.74,0.74,0.37,0,0,0,0.37,0.37
3Month,0.21,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
22Month,0.41,0,0,1.5,0.14,0,0,0.41,0.82,0,0,0,0,0,0,0
