stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0.28,0,0,0,0,0,0,0.85,0,0,0.28,5.07,2.82,0,0.28,0,1.69,0,0,0,0.28,0,0,0
21Day,0,0.74,0.37,0,0,0,0.37,0,0,0,0.37,0,0,0,2.96,0.74,0,0,0,0.74,0,0,1.11,0,0,0,0
3Month,0.1,0.21,0.31,0,0.31,0.1,3.02,0.21,0.21,0.1,0.21,0.1,0.1,0.21,0,0,0.21,0,0,0,0.42,1.77,0,0.1,0.52,0.31,0.21
22Month,0,0,0.14,0,0,0.14,1.37,0.14,0,0.27,0.27,0,0,0,0,0,0,0,0.27,0,0,0.14,0,0,0,0,0.14
