stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,11.56,1.69,0,0,0,0.28,0,0,0
21Day,0.37,0,0,0.37,0,0.37,0,0,0,0.37,0,0,0,0.37,0,0.37,1.85,0.37,0,0,0,0,0,0,1.11
3Month,0,0.21,0.42,0.1,0,1.04,0,0.42,0.73,0.1,0.52,0,0.1,0.94,0,0.1,0,0,0.1,0.1,0.21,0,0,0.1,2.81
22Month,0,0,0.68,0.27,0.14,1.91,0.27,2.46,0.55,0.27,0.14,0.14,0,1.23,0.41,0.14,0,0,0.14,0,0,0,0.14,0,2.19
