stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,3,9,0,0,7,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,1.69,0.85,0,0,0,0,0,0,0.28,0,2.25,0.28,17.76,0,0,0,0,124.01,7.05,0.28,0,16.91,0,0,0.28,0,0.28,0.56,0,0,0
21Day,4.44,0,0,3.7,2.22,0.37,0,0,0,0,0,0.37,0,0.37,0.74,37.74,0,0,1.11,0,55.13,1.85,0.37,1.85,10.73,1.48,0,1.11,0.74,0.74,0.74,0,0,0.74
3Month,0,0.21,0,1.25,0,0,0.1,0.21,0,3.85,0.1,0.21,1.25,0.42,0.31,1.35,0.42,0,0.1,0.1,0.52,0.21,0,0.1,0,0,0.52,0,0,0,0,0.1,0.42,0.42
22Month,0,0,0.41,0.27,0,0,0.27,0.82,0.27,17.76,0.82,0.96,1.09,0.27,0.82,2.32,0.14,0.14,0,0,0.14,0,0.27,0,0,0.14,0.41,0,0,0,0,0.14,0,0.14
