stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,8.46,0.28,0,0.28,0,0
21Day,0,1.11,0.74,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0
3Month,0,0.1,0,0,0.52,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1
22Month,0.14,0.41,0,0.14,2.05,0.14,0,0,0.27,0,0.14,0.14,0,0.14,0,0.14,0
