stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.56,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,1.97,0,0,0,0,1.97,1.97,0,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0,0,1.85,0,0.37,0,0,0,0,0.37,0,0.74,0.37,0.37,0,0.74,20.72,0,0,0,0,1.48,1.85,0,0,1.11,0.74,0,0,0,0.37,0,0,0
3Month,0.1,0.42,0,4.37,0.42,0,0.21,0.31,0.83,0,6.55,1.14,0.1,2.39,0.21,1.04,1.14,18.72,0.21,0,0.73,0.21,0.21,0,0.31,0,0.21,0.31,1.04,0,0,0,0.21,0.31,1.04
22Month,0,0.68,0.27,3.01,0,0,0.82,0.27,3.28,0.41,14.76,0.68,0.68,1.91,0.27,0.68,1.91,32.8,0,0.55,0.27,0,0.14,0,0.41,0.55,0.14,0.41,0.41,0.41,0.82,0,0,0,1.5
