stage,Epithelial_cell,Erythrocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Osteoblast
24hpf,0,0,0,1,0,0
72hpf,0,0.56,0,0.56,0,0
21Day,1.85,0,0,0,0,0
3Month,1.04,0,0.1,0,0,0
22Month,0,0,0,0,0.14,0.14
