stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,21,0,0,144,0,0,0,1,0,0,0,0,2,3,1,28,0,12,251,0,0,0,0,0,0,0,0,0
72hpf,4.23,0.56,0,6.2,0,0,0,0,0,0,0,0,2.54,2.54,0,14.09,0,14.66,11.27,0.28,0.28,30.16,0.28,0,2.54,0,0,0
21Day,2.59,0.74,2.22,3.33,0.37,0,0,0,0,0,0.74,0.74,0,0.37,0,10.36,0.74,2.22,0.74,0.37,0,21.83,0.37,0,0.74,0.37,0,0
3Month,0,0.94,4.78,1.56,0,2.5,0.52,0,2.18,0.21,0.21,0.83,0,0.1,1.46,3.43,15.5,0.1,0,0.42,0,0.1,0.1,0.21,0,0,0.1,0.1
22Month,0,0.14,0.14,0.27,0,0,0,0,1.09,0,0,0,0,0,0,0,0.82,0,0,0.14,0,0,0,0,0.14,0,0,0
