stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0.85,0,0,20.57,3.66,0,0.56,0,0,0,0
21Day,0.74,0,0,0,0.37,0,0,0,0,0,0,0,0,10.36,0.74,0,0.37,0.37,0,0.37,0
3Month,0,0.1,0.1,0,0,0,0.1,0,0.1,0,0,0.1,0,0,0,0.21,0,0,0.1,0,0.21
22Month,0,0.14,0,0.27,0,2.32,0.41,0.14,0.14,0.27,0.27,0,0.27,0,0,0.14,0,0,0,0,0
