stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.56,0,0.28,1.41,2.54,2.25,0,0,0.28,0,0,0,0,0
21Day,0,0.37,2.22,0,0.74,0,0.37,0,0,0,0,0,0,0,0.37,0,0,1.11,1.48,1.11,0.37,0,0,0.37,0.37,0,0,0
3Month,0,0,1.56,0,0,0.1,0,0,0.21,0,1.87,0.42,0,0.52,0,0.21,0.52,0.21,0.1,0,0,0,1.66,0,0,0.1,1.14,0.31
22Month,0.27,0,0,0,0,0,0,0.14,0,0.27,2.32,0,0.27,0.68,0,0,0.27,0,0,0,0,0.14,0.27,0,0,0,0,0.14
