stage,Epithelial_cell,Goblet_cell,Hepatocyte,Mesenchymal_cell,Nephron_cell,Retinal_pigment_epithelial_cell
21Day,0.37,0,0,0.37,0,0.37
3Month,0,0,0.1,0.1,0.1,0
22Month,0.27,0.14,0,0,0,0
