stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,3.1,2.25,0,3.1,1.69,5.36,0.28,0.56,0,0,0.56,0.28,1.41,9.58,1.69,21.7,0.56,0,63.7,29.88,0.85,0,11.56,0.28,0,5.64,0,0.28,0.56,0
21Day,5.92,1.11,1.48,21.83,0.74,18.5,0.37,1.48,2.96,0.37,4.07,3.33,1.48,8.51,4.81,27.01,0.37,3.33,30.71,14.43,0.37,0.74,6.66,5.92,0.37,2.22,1.11,4.81,1.11,3.33
22Month,0,0,0,0.27,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0
