stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0.28,0,0,0,0,0,0,0,0.85,0,0.28,0,0,0,7.89,0.56,1.13,0.28,0.28,0,0,0,0.28,0,0
21Day,0.37,0,0,4.07,0,0,0,0,0,0,0,0.37,0.37,0,0.37,0,0,0,0.37,0,2.59,0,0.74,0,0,0.37,0.74,0,0,0,0
3Month,0.1,0.21,0.73,53.26,0,0,0.1,0.21,0.1,2.08,1.77,0,16.02,0.21,1.46,0.62,1.25,0,0.1,0.21,0.1,0,0.52,0,0,0.1,0.94,0,0,0.31,0.52
22Month,0,0.27,0.41,9.43,0,0.14,0.14,0.41,0.14,5.88,0.27,0,5.47,0,0.14,0.41,0.41,0.14,0,0,0.14,0,0,0,0,0.14,1.5,0.14,0,0,0
