stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,3,0,0,0,0,0,2,0,0,0,23,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0.85,0,0,1.13,2.54,0,0.28,0.28,0,0
21Day,0,1.48,0,0,0.37,0.37,0,0.74,0,0,0.74,1.11,1.11,0,0,0,0.37
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0
22Month,0,0,0,0.41,0.82,0,1.09,0.14,0.14,0.27,0,0,0,0,0,0.14,0
