stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0.85,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.56,0.28,0,0,0.28,0,0,0,0,0
21Day,0.74,0,1.11,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0.37,0,0.74,0,0,0.37,0.37,0.37,0,0,0,0
3Month,0.1,0.42,8.11,0.1,0,0,0.31,1.46,0.1,0,0.31,0.1,0.21,0.1,7.8,0.31,0.21,0.1,0.1,0.1,0.1,0.1,0.21,0.1,0.1,1.46,0.21,0.1
22Month,0,0,3.28,0,0.14,0.14,0,1.78,0.14,0.14,0.27,0.14,0,0.27,2.46,0,0,0,0,0,0,0.14,0.14,0,0.55,0,0,0
