stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72hpf,0,0,0.28,0.28,0,0,0,0,0.56,0.28,0.28,0,24.8,0,0,0.28
21Day,0.37,0.37,1.11,0.37,0,0,0.37,0.37,0.37,0.37,0.74,0.74,23.68,0.74,0.74,0
3Month,0,0,0,0,0,0.21,0,0,0,0,0,0.1,0,0,0,0
22Month,0,0,0,0,0.14,0.27,0,0,0,0,0,0,0,0,0,0
