stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,2,0,4,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.13,0,1.69,0.85,0.28,0,0,0,0,0,0,0,0,0,1.41,5.07,0,0.28,0,0,0,16.35,1.97,0,1.13,0,0,0.28,3.38,2.54,0,0,0
21Day,0.74,0.37,0,13.32,2.96,1.11,0.37,0,0,0,0,0,0.74,0,0,1.48,9.25,0,3.33,0,0.74,0,3.33,0.37,0,0.37,0.74,0,0.37,4.81,15.54,0,0,0
3Month,0,3.02,0.31,19.04,0.73,0,0,0.1,0.21,0.31,0.21,0,1.46,0.31,0.62,1.77,4.58,0.31,2.81,0.52,0.1,0.31,0.21,0.21,0.21,0,0.42,0.52,0,0.1,0,1.14,0.1,0.31
22Month,0.14,0.96,0,4.1,0.27,0,0.27,0,0.41,0.68,0.27,0,3.69,0,0.14,0.41,0.55,0.55,2.05,0,0.14,0,0.27,0,0,0,0,0,0.14,1.09,0,0,0,0
