stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,2,0,0,0,0
72hpf,1.13,0,0,0,0,3.1,0.28,0,0.28,0,0
21Day,0.37,0,0.37,0.37,0.37,1.85,0,0,0,3.7,0.37
3Month,0,0.1,0,0,0,0,0,0.1,0,0,0
