stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,4,0,1,0,1,3,0,3,20,1
72hpf,0.28,0.28,0.28,0,0,0,0.28,0.28,1.13,1.13,0
21Day,0,0,0,0,0.37,0,0.37,0,0.37,0,0
3Month,0,0.21,0,0.1,0,0,0,0,0,0,0
