stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,2.54,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,1.11,0,0.37,0,0,0.74,0,0,0.37,0,0.74,0.37,0.37,0,0,0
3Month,0.21,0.1,0.52,1.98,0.31,0.52,0.21,1.56,0.42,5.2,0.42,0.31,0.42,0.21,0.1,0,0.1,0,0.1,0.1,6.45,0,0,0,17.68,0.21
22Month,0,0.27,0.27,0.27,0,0.41,0,1.37,0,5.6,0.27,0.27,0.27,0,0,0,0,0.14,0,0,2.73,0,0,0.14,0,0
