stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
72hpf,0,0,0.85,0,0,0,0,0,0,0,1.13,1.41,0,0.28,0,0,0,0,0,0,0,0
21Day,0.37,0.37,1.85,0.37,0,0.37,0,0,0.37,0,0,0.74,0,0,0,0,0.37,0.74,0.74,0,0,0
3Month,0,0,1.14,0,0.31,0,0.52,0.1,0,0.21,0,1.25,0.42,0.1,0,0.1,0.1,0,0,0.52,0.1,0.62
22Month,0,0.14,0,0,0.14,0,0.14,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0
