stage,Enterocyte,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,1,0,1,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.13,0.56,0,0.28,0
21Day,0,0,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0.1,0.52,0,0.31,0.1,0.1,0,0,0,0,0,0,0.1
22Month,0,0,0.14,1.91,0,0.41,0.14,0,0,0,0.14,0,0
