stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Oligodendrocyte,Retinal_cell,T_cell
3Month,0,0.1,0,0,0,0,2.39,0,0,0,0.31
22Month,0.27,2.6,0.14,0.14,0.14,0.41,32.52,0.41,0.14,0.14,0.41
