stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0.56,0,1.13,0.56,3.38,0.28,0,0.28,0,0,0.28,0.28,0,0.28,0,0,0.28,0,0,0
21Day,0,0.74,1.11,0,0,0.37,0.74,0,2.22,1.48,0.74,0,5.55,0.37,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0.37
3Month,0.31,0.94,2.08,0,1.04,0.62,9.78,0.62,0.1,13.42,0.83,0.31,9.26,0.42,0.1,0,0.21,0.94,0,0,0.1,0.52,0.21,0,0,0.1,0.94,0.52
22Month,0.27,0.55,0.82,0.14,0.27,1.64,10.25,0.27,0.41,9.7,0,0.14,4.51,0.27,0,0.14,0.27,0,0.14,0,0.41,0,0.27,0.14,0,0,0,0.55
