stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.56,23.68,0,0,0,0,0,0,0.28,0.85,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,7.77,4.44,0.74,0,0,0,0,0,0,0,0,4.07,0,4.44,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0
3Month,0.21,0.52,13.11,9.26,0,1.04,0.1,4.78,2.18,0,9.05,3.33,0,304.46,0.52,1.87,4.89,2.29,0.73,0,0.52,2.18,0.21,0.21,0.1,0.1,0,0.21,2.18,1.87,0.21,0.62,0.94,2.08
22Month,0,0.82,9.43,1.78,0,0.14,0,2.73,1.5,0.96,12.44,0.82,0.27,243.24,0,0.14,1.5,1.64,0.14,0.68,0.68,0.55,0,0,0.27,0.41,0.14,0,0,1.37,0,0,0,0.82
