stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0.56,0,0.56,0.56,0,0,0,6.76,1.41,0,0,0,0.56,0,0,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0.37,0,0.37,0.37,0,0.74,1.48,0,0.37,0,1.85,0,0,0,0,0,0,0,0,0,0,0,3.33
3Month,0.1,0.31,0.21,4.06,0.21,0.31,0,1.46,1.46,0.1,1.04,9.05,0.83,2.5,4.47,0.1,3.54,0.21,0.1,0,0,0.1,0,0.31,0.31,6.03,0.21,0,36.93,0.83,10.61
22Month,0,0,0,1.09,0.14,0.55,0.14,2.73,0.27,0,0.27,0.96,0,1.5,0.96,0,0.27,0,0,0,0.27,0.41,0.14,0.14,0,1.78,0,0,6.42,0,8.06
