stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,1,0,0,0,0,0,0,0,1,0,3,0,0,0,9,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0.28,0,0.85,0,0,3.66,4.51,0.28,1.41,0,0,0
21Day,1.11,1.11,0.37,0,0,0.37,0,0.37,0.74,0,2.22,0,0.74,2.96,0.74,0,0.74,0,0.37,0.37
3Month,0.31,0,0,0,0.1,0.1,0.1,0,0.31,0,0,0.1,0,0.1,0,0,0,0.31,0,0
22Month,0.14,0,0,0.14,1.09,0,0.27,0,0.14,0.14,0.27,0,0.14,0,0,0,0,0.27,0,0
