stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0,20.01,0,0,0.85,1.13,9.58,0,0,0.28,0,0,0
21Day,1.11,0,0,2.22,1.48,0,0,0,0,0.37,0,0,0.74,101.01,0,0.37,1.48,2.22,7.03,1.48,0,0,1.11,0,0
3Month,0,0,0.1,0.83,0,0.1,0.42,1.14,0.31,0,0.31,0.31,0,11.65,3.85,0,0.21,0,0,0.1,0.31,0,0,0.1,0.1
22Month,0,0,0,0.27,0,0,0,1.09,0,0.14,0.14,0,0,2.87,0.14,0,0,0,0,0,0,0,0,0,0
