stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,16,1,0,0,0,0,0,0,1,0,0,0,1,1,0,60,0,0,1,1,33,0,0,0,0,0,0,0,6,0,0,0
72hpf,1.13,0,0,1.13,2.25,0,0,0,0,0,0,0,0,0,0,0,11.84,0,15.5,0,0,0,5.36,18.6,0,0,15.5,0,0,0.28,0.28,8.17,0,0,0
21Day,0,0,0,1.48,1.85,0,0,0,0,0,0,0,0,0,0,0,0.37,0,13.32,0,0.37,0,2.96,4.44,0,0,0.74,0,0,0,0,0,0,0,0.74
3Month,0,0.21,0,1.56,0,0,0,0,0.31,0.52,0,0,1.35,0.31,0.52,0.42,1.14,0.31,15.29,0.62,0.1,0.31,3.43,0,0,0,0,0.21,4.37,0,0,1.66,0.1,1.14,0.1
22Month,0.14,0.27,0.14,0.82,0,0.14,0.14,0.14,0.14,0.82,0.14,0,2.87,0.27,0,0,0.55,0.27,31.43,0.27,0.27,0,1.5,0,0.27,0.27,0,0,0.27,0.27,0,0.41,0,0,0.41
