stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
21Day,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0.37,0,0,0
3Month,0,0,0.62,0,0.1,0,1.14,0,0.1,0.21,0,0.21,0.1,0.1,0,0.31,0.1,0.1
22Month,0.14,0.14,0.14,0.14,0,0.27,3.69,0.27,0,0,0.27,0.41,0,0,0,0,0.14,0.27
