stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.54,0.28,0,1.69,2.25,0,0,0,0,0,0,0.56,4.23,0.28,2.54,0.56,0.28,0,307.78,15.22,1.13,5.64,4.79,0,0,3.38,0.28,0,0.56,0,0,0
21Day,1.48,0,0,3.33,2.59,0,0.37,0.37,0.37,0,0.74,0.37,1.48,0,3.7,0,0.74,0,116.92,3.33,0.37,2.22,1.48,2.59,1.11,0.37,1.11,1.48,0,0,0,0.37
3Month,0,0,0.1,1.35,0,0.21,0.1,1.35,0.31,0.1,0.83,0.1,0.73,0.42,0.42,0,0.1,0.1,1.25,0,0.52,0.1,0,0.1,18.72,0,0,0,0,0.1,1.98,0.1
22Month,0,0,0.14,0.41,0,0.27,0.68,3.55,0,0,0.14,0.27,0,0.14,0.41,0,0,0,0.27,0,1.37,0.41,0,0.27,7.52,0,0.14,0,0,0.14,0,0
