stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,179,40,0,549,11,1,1,0,0,0,27,0,0,0,0,48,555,33,478,0,0,0,3,261,5399,1,0,50,0,0,0,0,7,0,0
72hpf,1.41,3.1,0,4.79,0.28,1.41,0.28,0,0,0,0,0,0,0,0,3.38,12.4,0,7.33,0,0.28,0.28,0,36.36,18.88,0,0.28,7.61,0,0,3.1,0,0.28,0,0
21Day,0.74,0.74,0.37,9.25,0.37,3.33,2.96,0,0.74,0,0,0,0.37,1.11,0,0,5.92,1.11,12.58,0,0,1.11,0,4.07,1.85,0,0,3.33,0.37,0,0.37,0.74,0,0,1.48
3Month,0,0.1,0.21,1.25,0,0,0,0.1,2.18,0,0,0.31,6.87,0.1,0.1,0.21,0.31,0.62,0.31,0.21,0,0,0,0.21,0,0.1,0,0.1,0.21,0.52,0,0,0,0.21,1.56
22Month,0,0.14,0,0.27,0,0,0,0,2.32,0.14,0,0.96,1.5,0.27,0.41,0,0.27,0.68,0.27,0,0,0,0,0.14,0,0,0.27,0,0,0,0,0,0,0,0.14
