stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,7,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,7,0,0,0,1,71,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.56,0,0.28,0.85,0.28,0,0,0,0,0,0,0,0,1.13,0.28,0,2.54,0.56,0.56,0,1.97,8.46,0,0,20.57,0,0.56,0,0,0,0,0
21Day,1.85,0,0.37,1.11,0,0.74,0,0.37,0,0,0,0,0.37,0,0,0.74,0.37,0.74,0,0.37,0,0.37,1.85,0.74,0,2.22,0,2.59,0.37,0.37,0,0,0
3Month,0.62,0.21,0.1,5.93,0,0,0.1,2.29,0.42,0,4.26,0.62,0.1,0.73,0.31,0.62,0.62,1.56,0,0.42,0.21,0,0.21,1.98,0,0.1,0.83,36.09,0.1,0.31,0.31,14.67,0.42
22Month,0,0.27,0.41,0.27,0,0,0.14,1.78,0.41,0,2.73,0,0,1.23,0,0,0,0.41,0.41,0.14,0,0,0.14,0.96,0.14,0.27,0.14,9.84,0.14,0,0,0,0
