stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,1,0,0,1,5,0,1,0,0,0,0,0
72hpf,0.28,0.28,0,0,0.28,0,0,0.56,0,0,0,0,0,1.41,1.97,0,0.28,0,0.28,0,0,0
21Day,0,0.74,1.48,0.37,0,0,0,0.37,0.37,0.37,1.85,0,0.37,0.37,0.37,0.37,0,0,0.37,0.37,0,0
3Month,0,0.52,0,0,0.31,0.31,0.31,0.1,0.31,0.1,0.21,0.1,0,0,0,0,0,0.83,0,0,0.1,0.1
22Month,0,0,0,0.14,1.09,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
