stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0
3Month,0.83,0.42,4.26,0.94,0.1,0.1,0.21,0.31,4.99,0,0,0.1,0.21,1.14,8.32,1.66
22Month,0,0.27,5.47,0.14,0,0,0,0,0.41,0.14,0.27,0,0,2.05,0,0
