stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0,0,3.02,0.31,0.21,0.21,1.56,0.21,0.1,0.31,0.1,0.42,0.1,0.31,0,0.21,0,0.21,0.1,1.98,0.1,1.35,0.31
22Month,0,0.27,0.14,0,0.41,3.96,3.69,0,0,0.55,0,0,0,0.14,0.27,0,0,0,0,0,0,0,0
