stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,28,1,0,1,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0,2.54,0,0,0,0,1.13,1.97,0,0,10.71,0,0,0.28,0,0,0
21Day,0.37,0,0,2.22,1.11,0,0,0,0,0,0,0,0,1.11,0,1.11,0,14.8,0,0,1.11,0,0.37,2.22,0,0,1.85,0.37,1.48,0.74,0,0.37,0.74
3Month,0,0.31,0,5.93,0,0,0.1,0.1,0.1,0.73,0,1.35,0.21,0.42,1.04,1.46,0.52,12.69,1.46,0,0.42,0.21,0.52,0,0.42,0.1,0.1,0.83,50.66,0.31,1.25,12.17,0.83
22Month,0,0.41,0.14,2.73,0,0.27,0,0,0.27,0.41,0.96,10.66,0,0.68,0.68,0.55,0.27,2.73,0,0.41,0.14,0,0.27,0,0.27,0,0.14,0,7.65,0,0.27,0,1.09
