stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.85,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,24.05,0,0,0,0,0,0,0.37,0.74,0,0.37,0,0,0,0.37,0.37,0.74,0,0,0,0
3Month,0.21,0,9.36,0.1,0.21,0.94,0.52,0.1,0.1,0,0.31,0.31,0.1,0.1,0,0.21,0,0,0,0.62,0.21,0.21,0.1
22Month,0,0.27,1.91,0.14,0.68,5.19,0.41,0,0.82,0,0.27,1.09,0.41,0,0.14,0,0,0,0,0.55,0.14,0,0
