stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,1,0,4,0,0,0,0,0,0,0,0,1,1,0,2,30,1,0,0,0,0,0
72hpf,0.56,2.54,7.33,1.13,0.56,0,0,0,0,0.28,1.13,0,2.82,0.28,1.97,7.61,0,5.07,0,12.4,0,0.56
21Day,1.11,2.22,9.62,0.37,0.74,0.37,0,0,0.37,0,2.59,0,18.13,3.7,1.48,5.92,0,6.66,1.11,2.22,0.37,0
3Month,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0,0,0.27,0.14,0,0.14,0.14,0,0.82,0,0,0.14,0,0,0,0,0,0
