stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,14,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,1.13,0.28,0,0,0,0,0,0,0.56,0.85,0.28,0.56,99.21,2.54,0.28,1.69,0,0,0.28,0.28,0,0,0
21Day,0,0,1.11,0,1.85,0,0,0,0.37,0,0,1.48,0,0,28.49,1.48,0,0,0.37,1.11,0,0,0,0,0
3Month,0,0,1.66,0,0,0.42,0.21,0.73,0.1,0.31,0.1,0.31,0.21,0.1,1.25,0,0,0,0,8.63,0,0,0.21,6.24,0.42
22Month,0,0,0,0,0,0,0.41,0.55,0,0.14,0,0,0.27,0,0.14,0,0,0,0,11.48,0,0,0,0,0
