stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,3,1,9,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0
3Month,0.21,0.1,0.1,0.73,0.31,0.1,0.1,0,0,0,2.39,0,10.3
22Month,0,0,0,0.41,0,0,0,0,0,0,0.41,0,0
