stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.85,0,0,0,0,0,0,0,0,0.56,0,0.28,0,0,0,0,0.56,1.13,0,0,1.41,0,0,0,0,0,0,0
21Day,0.74,0,0,0,2.22,0,0.37,0,0,0,0,0,0,1.11,0,1.85,0,0,0,0,0.37,0.37,0,0,0.74,0.37,0,0,0.37,0,0,0
3Month,0,0.42,0.21,4.16,0,0.21,0,0.1,0.94,1.87,11.13,2.39,0.94,0.62,1.56,0.83,0.42,0,0.52,0.42,0.42,0,0.1,0.21,0,0.62,2.18,0.1,0,0.42,0.31,1.04
22Month,0,0,0,0.41,0,0,0.14,0,0.14,2.6,6.56,0.41,0.27,0.14,0.27,0.14,0,0.27,0,0,0.14,0,0,0,0,0,0,0.14,0,0,0,0.27
