stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
72hpf,0.85,0.85,0.28,0,0,0,0.28,1.13,0,0.28,65.67,4.23,0,0.28,0.28,0,0,0.28,0
21Day,0,1.11,0.37,0,0,0,0,0,0,0.37,22.57,0.37,0,0,0.74,0.37,0,0.37,0.37
3Month,0,0.21,0,0.1,0.62,0,0,0,0,0.1,0,0,0.21,0,0,0,0.21,0,0
22Month,0,0,0,0,1.78,0.14,0,0,0.14,0.27,0,0,0.14,0,0,0.14,0.41,0,0
