stage,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Muscle_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,1,0,0,0,0,1,0
72hpf,0,0,0,0,0,0,0,1.41,0
21Day,0,0,0,0,0,0,0.37,0,0
3Month,0,0.1,0,0,0.31,0.1,0,0,0
22Month,0.14,0,0,0.14,0.68,0.14,0,0,0.14
