stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,39,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.56,0.28,1.41,0,0,0,0,0,0,0,0.28,1.41,0,1.97,0,0,13.53,36.08,0,0,2.25,0,0,33.54,0,0.28,0
21Day,0,0,0,1.11,0.37,0.37,0,0,0,0,0,0.37,0,0,0,0,0.37,0.37,0.37,1.11,8.88,0,0.37,0,0.74,0,2.59,0,0,0
3Month,0,0.21,0.1,2.29,0.1,0,1.04,0.31,0.1,1.56,0.31,0,0.31,0,0.42,0.21,0.1,0.21,0,0.1,0.1,0,0,0,0.31,2.81,0.1,0.1,0,13.31
22Month,0,0,0.41,0.41,0,0,0.14,0.14,0,3.28,0,0.14,0.14,0,0,0.14,0.27,0,0,0.14,0.27,0.14,0,0.14,0,4.92,0,0,0,0
