stage,Cardiomyocyte,Endothelial_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,1,0,0,1,3,0,16,0
72hpf,0,0.28,0,0.28,0.28,0.28,0.85,1.13,0
21Day,0.37,0,0.37,0,0,0.37,1.48,0,0.37
