stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.56,0,0,0,0,0.28,0,0,0,0.28,0.28,0,0.85,0.28,3.95,2.25,0,0,0,0,0,0.28,0,0,0,0
21Day,0.37,0.37,0.74,1.11,0.37,0.37,0,0.37,0,0.37,0,0,0.37,0,0,1.48,0,1.11,0.74,0,0,0.74,0.74,0,0,0.37,0,0,0
3Month,0,0.21,0.1,1.35,0,0,0.31,0,0.94,0,0,1.35,0.1,0.31,0.1,0.21,0,0.1,0,0,0.1,0,0.1,0.42,0,0,0.21,0.73,0.31
22Month,0,0.14,0,0.27,0,0,0,0.14,2.19,0,0.14,1.09,0,0,0,0,0,0.14,0,0.14,0.14,0,0,0.27,0,0,0,0,0.27
