stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,1.41,0.28,0,0.28,0,0,0,0,0,0,0,0.56,23.96,0.28,0.28,0,0,0,0,4.23,0.28,0,0,0,2.25,0.56,0,0.56,0,0,0,0,0
21Day,0,0.37,0,2.59,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0,0.37,0,0,1.85,0,0.74,0.37,1.11,0.74,2.59,0,0,0,0.37
3Month,0.1,0.42,0,78.74,0,0.42,0,0.73,0.94,0.62,4.06,0.62,0.1,1.25,0,1.35,1.66,0.62,0.21,0,0.1,0.1,0.73,0,1.98,0.1,0,0.42,1.14,4.68,0,0,0.1,0,2.08,0.21
22Month,0.14,0.55,0.41,82.4,0,0.27,0.27,0.27,1.5,1.64,88.69,0.68,0.41,1.5,0,0.55,3.42,1.78,0,2.05,0.14,0,0.41,0,1.91,1.09,0.27,0,0.68,7.11,0.41,0,0,0.14,0,0.96
