stage,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
72hpf,0,0,0.56,0,0.85,0.28,0,0
21Day,0.37,0.37,0,0.37,0.37,0,1.85,0
3Month,0.1,0.62,0,0,0.1,0,0,0.21
