stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0
3Month,0.1,0.31,0,0.1,0.1,0.94,0.1,0.31,0.21,0.52,0.1,0,0.1,0,0,0,21.74,5.1,0.42
22Month,0,0,0,0,0,1.78,0,0,0,0,0,0.27,0,0,0,0.14,2.19,0,0
