stage,Epithelial_cell,Epithelial_cell__Brain_,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,0,2,1,12,1,0
72hpf,0.28,0.28,0.28,0.28,0.28,0.56,0,0
21Day,0.37,0,0.37,0.74,0,0,0,0.37
