stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0.28,0,0,0,0,0,0,0,0,0
21Day,1.11,0,0,1.85,0,0.74,0,0,0,0,0,0,0.37,0,0.74,5.92,0,0.74,6.29,0.74,0,0,0,0,8.14,1.11,0,0,0.37,0.37,0.37,0,0,0,0.74
3Month,0.21,1.25,5.1,12.38,0.1,0,0.83,0,0,7.49,1.98,0,19.04,1.56,0.31,142.4,0.31,2.7,15.5,2.18,0.31,0.1,0.52,0.73,0.31,0.1,0.62,0.1,0,1.04,1.04,0.21,0.73,0.73,5.2
22Month,0.14,9.02,3.14,7.24,0,0,0.55,0.14,0.27,3.55,4.24,1.5,49.6,0.68,1.09,100.85,0.14,2.32,13.39,9.29,0.14,1.5,0.96,0.41,0.14,0,0.55,0.55,0.14,0.41,0.41,0.14,4.51,0,6.56
