stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
72hpf,0.56,0.28,0.85,0,0,0,0.28,0.56,0.28,0,23.68,1.97,0.28,0,0.56,0,0,0,0
21Day,0,0.74,0,0.37,0,0.37,0,0.37,0,0,7.77,1.85,1.11,0.37,0,0.37,0,0,0
3Month,0,0.52,0,1.56,0.1,0.21,0.1,0.21,0.1,0.21,0,0.1,0,0.21,0,0,0.1,0.1,0.42
