stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,55,0,0,12,3,0,0,0,0,0,0,0,0,0,0,9,1,17,0,0,0,0,15,36,0,0,0,0,0,0,0,1,0,0
72hpf,12.4,0,0,6.48,8.17,0.85,0,0,0,0.28,0,0,0,0,0.56,43.4,0,11.27,0,0,0,0,20.86,24.52,5.36,0,3.95,0,0,0.28,0,0.28,0,0
21Day,87.32,0,0.37,13.69,8.14,2.96,0.74,0,0,0,1.11,0.74,1.85,0,0.74,15.54,4.07,18.87,0,0,0,0,17.76,13.69,0.74,0.74,1.48,2.59,0.74,0.37,0.37,0,0,0
3Month,0.21,0.21,0,3.02,0.83,0,0,0.21,0,0,1.77,0.31,0.1,0.73,0,2.29,1.66,1.35,0.31,0.1,0.31,0.1,0.62,0.1,1.14,0,0,0,0.21,0,0,0,24.76,0.21
22Month,0,0,0,1.09,0.41,0,0,0.14,0.14,0,0.41,0,0,0.14,0.14,0.41,0.27,0,0,0.14,0,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0
