stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,3,33,1,0,0,0,0,0,0,0,0
72hpf,3.38,0.85,0,2.54,0.85,0.85,0,0,0.28,0,3.1,3.1,0,4.23,0,1.41,0,0,259.86,14.09,0,0.28,4.51,0.56,0.28,3.95,0.28,0.85,0
21Day,2.22,0.74,0,2.96,0,1.48,0,0,0.74,0.37,3.33,0.74,0.37,3.7,0,0,1.85,0,49.95,2.22,0,0.37,0.37,0.37,0,0.37,1.48,1.85,0.37
3Month,0,0.1,0,0.31,0,0,0.1,0.83,0,0.1,0.62,0,0.1,0.42,0.1,0,0,0.21,0.1,0,0,0,0,0,0.73,0,0,0,0
22Month,0,0,0.14,0,0,0,0.27,1.91,0.14,0.55,0.55,0,0.14,0.41,0,0.14,0.14,0,0.41,0,0.14,0.14,0,0,0.27,0,0,0,0.27
