stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.97,0.85,0,0,0,0,0.85,0.56,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,0.74,0,0,0
3Month,0.1,0.1,0.1,2.5,0.1,0,0.21,0.21,3.54,0.42,0.1,0.31,0.42,0.31,0.42,0.1,0.1,1.04,0.21,0.1,0.1,0.42,20.8,0.1,0.1,0,0.21,61.16,0.21
22Month,0,0,0,0.14,0,0.14,0,0,0.27,0,0,0,0,0.14,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0
