stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,5,0,0,0,0,0,1,0,0,0,0,0,5,0,4,0,0,2,28,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0.28,0.28,0,11.27,5.64,0,0,1.69,0,0,0,0,0,0
21Day,0.37,0,2.22,0.37,0,0.74,0,0.37,0,0,0,0,0,0,0.37,0.37,3.33,0,0.74,8.14,4.44,0,0,1.11,0.74,0.37,0.37,0,0,0.37
3Month,0,0.31,1.66,0,0.1,0.1,0.1,0.1,0,0.52,0.1,0.1,0.62,0,0.62,0.21,0.31,0,0.1,0,0,0.1,0,0.1,0.1,7.59,0,0.21,1.46,0.42
22Month,0,0,0.14,0,0.14,0,0.27,0.55,0,1.64,0.14,0.27,0.55,0.14,0.27,0.68,0.68,0,0,0,0.14,0.14,0.14,0,0,0.41,0,0,0,0
