stage,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Neurosecretory_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,7,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0.37,0,0,0,0,0,3.33,0,0.37,0.37,0,0.37
3Month,0,0.1,0.1,0.42,0.1,0.1,0.31,0.1,0,0,0.1,0
22Month,0,0,0,0,0,0,0.27,0,0,0,0,0
