stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.28,0,0,0,18.32,0.56,0,0,0,0.85,0.28,0,0
21Day,0.37,0,0,0,0.37,0.37,0.74,0,0,0.37,0,0,0,0,0,0.37,0,11.47,0.37,0.37,0.37,0.37,0.37,0,0,0
3Month,0,0.21,0.1,0.83,0,0,0.21,0,1.35,1.04,0.21,0.1,0.1,0.1,0,0.1,0.42,0.1,0,0.1,0,0.21,0,0,0.1,0.21
22Month,0,0,0,0.14,0,0,0.14,0.14,1.5,0.14,0.14,0,0.41,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0.14
