stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,1,7,3,1,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.41,0.56,0.56,0,0,0,0,0.28,0.28,0,0.28,0,0,0,0
21Day,0,0,4.44,0,0,0,0,0,0.37,0,0,4.81,0,0,0,0,0,0.37,0,0,0,0,0,0,0
3Month,0.31,0.83,5.82,0,0.1,0,0.1,0.31,0,2.08,0.21,0.52,0.1,0.62,0,0.1,0.21,0,0,0.1,0,0.1,0.1,0,0.1
22Month,0,0.41,1.78,0.14,0.41,0.14,0,2.32,0.27,3.42,0,0.14,0.55,0.96,0.14,0,0.14,0,0.14,0,0,0,0,0.14,0
