stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,1.13,0.28,0.56,0,0.28,0,0,0,0,0,0,0,0,0.56,38.61,0.56,0.28,0.28,0,0.56,0,0,2.82,5.64,1.41,0,0,1.41,0.28,0,0,0,0,0,0,0
21Day,1.11,0.74,11.47,9.62,0.37,1.85,0,0,0,1.11,0,0,0,1.11,0,3.7,60.31,0,4.44,1.85,3.7,0,0,0.74,0,4.81,4.44,2.59,0,0,0.37,1.11,0,1.11,1.11,0.74,0,0,1.48
3Month,0.1,0.94,11.03,44.42,0,0,1.14,0.21,0.1,47.22,2.7,0,0,14.67,3.64,0.1,349.39,0.83,2.7,2.18,4.78,1.46,0.1,1.04,0.94,2.5,0.73,10.19,0.42,0,0.1,2.29,7.7,0.1,0,0,1.25,1.98,2.08
22Month,0,0.14,7.65,7.38,0,0,0.27,0,0,10.11,1.37,0.27,0,11.07,0.68,0.14,223.29,0,0.14,1.09,1.37,0,0.68,1.09,0,0.55,0.41,3.69,0.27,3.55,0.14,0.27,9.16,0.14,0,0,0.14,0,0.82
