stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0.28,0,0.28,0.28,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,5.18,0,0,0,0.37,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0.37,0,0,0
3Month,0.1,0.31,0.31,3.64,0.1,0.21,0,34.22,136.78,0,5.93,33.18,0,2.18,0.31,1.35,10.3,4.47,0.73,0,0.83,0.52,0.21,0,0.62,0.1,0,0,0.83,0.21,1.87,0,0,0,0.83,0.73,3.95
22Month,0.14,0.82,0.27,1.64,0,0.68,0.14,8.34,243.1,0.68,8.2,8.47,0.82,1.5,0.14,0.14,26.65,0.82,0,0.55,0,0,0.14,0,0.41,0.27,0.14,0.14,0.27,0,2.05,0.41,0.41,0,0.27,0,2.46
